"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"sp:Filter:1                        ","Class","Filter","1.0.0.0","sp"," The Filter class identifies the filter associated with a specific band or bin along a spectral axis in an Array object. The filter may be identified by either name, identifier, or number or some combination of these. ","sbn","","","","","","","","","","",""
"sp:Filter:2                         sp:filter_name:1                   ","Attribute","filter_name","n/a","sp"," The filter_name attribute provides the commonly-used name of the instrument filter through which an image or measurement was acquired or which is associated with a given instrument mode. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Filter:2                         sp:filter_number:1                 ","Attribute","filter_number","n/a","sp"," The filter_number attribute provides the numeric identifier of an instrument filter through which an image or measurement was acquired or which is associated with a given instrument mode. Within the bin class of a spectral data object, it identifies the filter through which data in the given band were acquired. ","sbn","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"sp:Filter:2                         sp:comment:1                       ","Attribute","comment","n/a","sp"," The comment attribute is an unlimited length, format-preserved, UTF-8 text field for comments relevant to the context in which it appears. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sp:Circular_FOV:1                  ","Class","Circular_FOV","1.0.0.0","sp"," The Circular_FOV class contains attributes to describe a circular aperture/field of view. ","sbn","","","","","","","","","","",""
"sp:Circular_FOV:2                   sp:diameter_angle:1                ","Attribute","diameter_angle","n/a","sp"," The diameter_angle attribute provides the angle subtended on the sky by the diameter of a circular aperture. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Rectangular_FOV:1               ","Class","Rectangular_FOV","1.0.0.0","sp"," This class is used to describe a rectangular (i.e., slit) aperture. ","sbn","","","","","","","","","","",""
"sp:Rectangular_FOV:2                sp:width_angle:1                   ","Attribute","width_angle","n/a","sp"," The width_angle is the angle subtended on the sky by the short dimension of a simple slit. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Rectangular_FOV:2                sp:length_angle:1                  ","Attribute","length_angle","n/a","sp"," The length_angle attribute provides the angle subtended on the sky by the long dimension of a simple slit. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Rectangular_FOV:2                sp:celestial_north_position_angle:1","Attribute","celestial_north_position_angle","n/a","sp"," The celestial_north_position_angle attribute provides the angle the long axis of the slit makes with respect to celestial north, measured eastward of celestial north in the range 0-180 degrees. ","sbn","ASCII_Real","0","1","0.0","180.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Rectangular_FOV:2                sp:body_positive_pole_position_angle:1","Attribute","body_positive_pole_position_angle","n/a","sp"," The body_positive_pole_position_angle attribute provides the angle the long axis of the slit makes with respect to the positive (or ""north"") pole of the target body, measured clockwise from the pole in the range 0-180 degrees. ","sbn","ASCII_Real","0","1","0.0","180.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Complex_FOV:1                   ","Class","Complex_FOV","1.0.0.0","sp"," The Complex_FOV class is used for apertures (slits) that are not either circular or a simple rectangular shape. ","sbn","","","","","","","","","","",""
"sp:Complex_FOV:2                    sp:width_angle:1                   ","Attribute","width_angle","n/a","sp"," The width_angle is the angle subtended on the sky by the short dimension of a simple slit. ","sbn","ASCII_Real","0","*","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Complex_FOV:2                    sp:length_angle:1                  ","Attribute","length_angle","n/a","sp"," The length_angle attribute provides the angle subtended on the sky by the long dimension of a simple slit. ","sbn","ASCII_Real","0","*","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Complex_FOV:2                    sp:celestial_north_position_angle:1","Attribute","celestial_north_position_angle","n/a","sp"," The celestial_north_position_angle attribute provides the angle the long axis of the slit makes with respect to celestial north, measured eastward of celestial north in the range 0-180 degrees. ","sbn","ASCII_Real","0","1","0.0","180.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Complex_FOV:2                    sp:body_positive_pole_position_angle:1","Attribute","body_positive_pole_position_angle","n/a","sp"," The body_positive_pole_position_angle attribute provides the angle the long axis of the slit makes with respect to the positive (or ""north"") pole of the target body, measured clockwise from the pole in the range 0-180 degrees. ","sbn","ASCII_Real","0","1","0.0","180.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"sp:Bin_Center_Lookup:1             ","Class","Bin_Center_Lookup","1.0.0.0","sp"," The Bin_Center_Lookup class provides a link to a map or list of bin center values - either to a field in a spectral table, or to a distinct data object that is part of the same product, or to a separate PDS product containing the information. ","sbn","","","","","","","","","","",""
"sp:Bin_Center_Lookup:2              sp:bin_center_field_name:1         ","Attribute","bin_center_field_name","n/a","sp"," The bin_center_field_name must contain the value of a 'name' attribute of a Field defined in the referenced Table object. This named Field contains the bin center information for each row in a 1D spectrum presented in tabular form. It will have units (and possibly offset and scaling factor) as indicated in the Field definition. This will usually be accompanied by a bin_width_field_name. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Bin_Center_Lookup:2              sp:bin_center_field_number_list:1  ","Attribute","bin_center_field_number_list","n/a","sp"," The bin_center_field_number_list attribute is used only in the case of spectra in the format ""Tabulated-Flat"", where each row of a table contains a spectrum and the spectral points are defined as individual Fields - one Field defined for each point. The format is a parenthesized, ordered list of the field_number values from the Field definitions that correspond to the bin center values. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Bin_Width_Constant:1            ","Class","Bin_Width_Constant","1.0.0.0","sp"," The Bin_Width_Constant class is used inside a Bin_Width_Lookup class for those cases where the bin width is either not well known or unknown. It provides a way to specify a nominal constant width or indicate that there is no available information about the bin width. If the bin width is completely unknown, use the appropriate bin_width attribute for the spectral type (frequency, wavelength, wavenumber, or energy), and indicate that it is nil, with a reason of "unknown". When this class is used, a full explanation of the situation should be provided by the bin_width_desc attribute of the parent class. ","sbn","","","","","","","","","","",""
"sp:Bin_Width_Constant:2             sp:bin_width_energy:1              ","Attribute","bin_width_energy","n/a","sp"," The bin_width_energy attribute provides the width of a bin along a spectral axis in a spectral object, in energy units. The method used to calculate the width must be specified using the bin_profile_description attribute. This attribute can be set to 'nil' if bin widths are unknown. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Energy","none","TBD_classConcept","REAL"
"sp:Bin_Width_Constant:2             sp:bin_width_frequency:1           ","Attribute","bin_width_frequency","n/a","sp"," The bin_width_frequency attribute provides the width of a bin along a spectral axis in a spectral object, in frequency units. The method used to calculate the width must be specified using the bin_profile_description attribute. This attribute can be set to 'nil' if bin widths are unknown. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"sp:Bin_Width_Constant:2             sp:bin_width_wavelength:1          ","Attribute","bin_width_wavelength","n/a","sp"," The bin_width_wavelength attribute provides the width of a bin along a spectral axis in a spectral object, in wavelength units. The method used to calculate the width must be specified using the bin_profile_description attribute. This attribute can be set to 'nil' if bin widths are unknown. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"sp:Bin_Width_Constant:2             sp:bin_width_wavenumber:1          ","Attribute","bin_width_wavenumber","n/a","sp"," The bin_width_wavenumber attribute provides the width of a bin along a spectral axis in a spectral object, in wavenumber units. The method used to calculate the width must be specified using the bin_profile_description attribute. This attribute can be set to 'nil' if bin widths are unknown. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Wavenumber","none","TBD_classConcept","REAL"
"sp:Bin_Width_Lookup:1              ","Class","Bin_Width_Lookup","1.0.0.0","sp"," The Bin_Width_Lookup class provides a link to a map or list of bin width values - either to a field in a spectral table, or to a distinct data object that is part of the same product, or to a separate PDS product containing the information. ","sbn","","","","","","","","","","",""
"sp:Bin_Width_Lookup:2               sp:bin_width_field_name:1          ","Attribute","bin_width_field_name","n/a","sp"," The bin_width_field_name must contain the value of a 'name' attribute of a Field defined in the referenced Table object. This named Field contains the bin width information for each row in a 1D spectrum presented in tabular form. It will have units (and possibly offset and scaling factor) as indicated in the Field definition. This attribute must be accompanied by a bin_center_field_name. If bin widths are constant or unknown, use the Bin_Width_Constant class to specify this. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Bin_Width_Lookup:2               sp:bin_width_field_number_list:1   ","Attribute","bin_width_field_number_list","n/a","sp"," The bin_width_field_number_list attribute is used only in the case of spectra in the format ""Tabulated-Flat"", where each row of a table contains a spectrum and the spectral points are defined as individual Fields - one Field defined for each point. The format is a parenthesized, ordered list of the field_number values from the Field definitions that correspond to the bin width values. If bin widths are constant or unknown, use the Bin_Width_Constant class to specify this. ","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Spectral_Lookup:1               ","Class","Spectral_Lookup","1.0.0.0","sp"," The Spectral_Lookup class references either specific Fields included in a spectral table (for 1D and tabulated spectra), or a 2-dimensional lookup map providing spectral characteristics for a corresponding spectral Array object. In the latter case, the referenced lookup map may either be to the referencing product, or an external stand-alone product. ","sbn","","","","","","","","","","",""
"sp:Spectral_Lookup:2                sp:comment:1                       ","Attribute","comment","n/a","sp"," The comment attribute is an unlimited length, format-preserved, UTF-8 text field for comments relevant to the context in which it appears. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sp:Axis_Bin_Set_Energy:1           ","Class","Axis_Bin_Set_Energy","1.0.0.0","sp"," The Axis_Bin_Set_* classes describe the spectral characteristics of each band along the spectral dimension of the data object. This will be a literal "axis" in the case of 2D and 3D spectral arrays, or the "Row" axis of a spectral table (each row is a spectral bin), or the "Field" axis of table containing one spectrum per row. These classes are used in cases where the spectral information is not uniform along the spectral dimension. ","sbn","","","","","","","","","","",""
"sp:Axis_Bin_Set_Energy:2            sp:axis_name:1                     ","Attribute","axis_name","n/a","sp"," The axis_name attribute contains a string that matches the axis_name attribute in the associated array-type spectrum object; or the special values ""Field"" and ""Row"" for tabular and tabulated spectra. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Axis_Bin_Set_Frequency:1        ","Class","Axis_Bin_Set_Frequency","1.0.0.0","sp"," The Axis_Bin_Set_* classes describe the spectral characteristics of each band along the spectral dimension of the data object. This will be a literal "axis" in the case of 2D and 3D spectral arrays, or the "Row" axis of a spectral table (each row is a spectral bin), or the "Field" axis of table containing one spectrum per row. These classes are used in cases where the spectral information is not uniform along the spectral dimension. ","sbn","","","","","","","","","","",""
"sp:Axis_Bin_Set_Frequency:2         sp:axis_name:1                     ","Attribute","axis_name","n/a","sp"," The axis_name attribute contains a string that matches the axis_name attribute in the associated array-type spectrum object; or the special values ""Field"" and ""Row"" for tabular and tabulated spectra. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Axis_Bin_Set_Wavelength:1       ","Class","Axis_Bin_Set_Wavelength","1.0.0.0","sp"," The Axis_Bin_Set_* classes describe the spectral characteristics of each band along the spectral dimension of the data object. This will be a literal "axis" in the case of 2D and 3D spectral arrays, or the "Row" axis of a spectral table (each row is a spectral bin), or the "Field" axis of table containing one spectrum per row. These classes are used in cases where the spectral information is not uniform along the spectral dimension. ","sbn","","","","","","","","","","",""
"sp:Axis_Bin_Set_Wavelength:2        sp:axis_name:1                     ","Attribute","axis_name","n/a","sp"," The axis_name attribute contains a string that matches the axis_name attribute in the associated array-type spectrum object; or the special values ""Field"" and ""Row"" for tabular and tabulated spectra. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Axis_Bin_Set_Wavenumber:1       ","Class","Axis_Bin_Set_Wavenumber","1.0.0.0","sp"," The Axis_Bin_Set_* classes describe the spectral characteristics of each band along the spectral dimension of the data object. This will be a literal "axis" in the case of 2D and 3D spectral arrays, or the "Row" axis of a spectral table (each row is a spectral bin), or the "Field" axis of table containing one spectrum per row. These classes are used in cases where the spectral information is not uniform along the spectral dimension. ","sbn","","","","","","","","","","",""
"sp:Axis_Bin_Set_Wavenumber:2        sp:axis_name:1                     ","Attribute","axis_name","n/a","sp"," The axis_name attribute contains a string that matches the axis_name attribute in the associated array-type spectrum object; or the special values ""Field"" and ""Row"" for tabular and tabulated spectra. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Uniformly_Sampled_Energy:1      ","Class","Uniformly_Sampled_Energy","1.0.0.0","sp"," The Uniformly_Sampled_Energy class provides attributes describing the spectral characteristics of a named axis of an Array object or the rows or fields of a Table object, in cases where the spectral sampling interval is regular and the sampling parameters are in energy units. ","sbn","","","","","","","","","","",""
"sp:Uniformly_Sampled_Energy:2       sp:axis_name:1                     ","Attribute","axis_name","n/a","sp"," The axis_name attribute contains a string that matches the axis_name attribute in the associated array-type spectrum object; or the special values ""Field"" and ""Row"" for tabular and tabulated spectra. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Uniformly_Sampled_Energy:2       sp:sampling_interval_energy:1      ","Attribute","sampling_interval_energy","n/a","sp"," The sampling_interval_energy attribute provides the spacing of points, in energy units, at which data are sampled and at which a value for an instrument or data parameter is available. This sampling interval can be either the original (raw) sampling or the result of some resampling process. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Energy","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Energy:2       sp:sampling_scale:1                ","Attribute","sampling_scale","n/a","sp"," The sampling_scale attribute indicates the type of scale that applies to the sample interval increments. It must have a value of either Linear or Logarithmic. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Uniformly_Sampled_Energy:2       sp:sampling_scale:2                 Value:Linear","Value","Linear","","","The sampling intervals are linear with respect to the physical values they represent."
"sp:Uniformly_Sampled_Energy:2       sp:sampling_scale:2                 Value:Logarithmic","Value","Logarithmic","","","The sampling values are logarithms of the physical values they represent."
"sp:Uniformly_Sampled_Energy:2       sp:sampling_base:1                 ","Attribute","sampling_base","n/a","sp"," The sampling_base attribute indicates the numeric base of the associated logarithmic sampling interval. ","sbn","ASCII_Real","0","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Energy:2       sp:bin_width_energy:1              ","Attribute","bin_width_energy","n/a","sp"," The bin_width_energy attribute provides the width of a bin along a spectral axis in a spectral object, in energy units. The method used to calculate the width must be specified using the bin_profile_description attribute. This attribute can be set to 'nil' if bin widths are unknown. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Energy","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Energy:2       sp:first_center_energy:1           ","Attribute","first_center_energy","n/a","sp"," The first_center_energy attribute provides the value at the center of the first bin along the spectral axis of a spectral data object in energy units. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Energy","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Energy:2       sp:last_center_energy:1            ","Attribute","last_center_energy","n/a","sp"," The last_center_energy attribute provides the value at the center of the last bin along the spectral axis of a spectral data object in energy units. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Energy","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Energy:2       sp:comment:1                       ","Attribute","comment","n/a","sp"," The comment attribute is an unlimited length, format-preserved, UTF-8 text field for comments relevant to the context in which it appears. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sp:Uniformly_Sampled_Frequency:1   ","Class","Uniformly_Sampled_Frequency","1.0.0.0","sp"," The Uniformly_Sampled_Frequency class provides attributes describing the spectral characteristics of a named axis of an Array object or the rows or fields of a Table object, in cases where the spectral sampling interval is regular and the sampling parameters are in frequency units. ","sbn","","","","","","","","","","",""
"sp:Uniformly_Sampled_Frequency:2    sp:axis_name:1                     ","Attribute","axis_name","n/a","sp"," The axis_name attribute contains a string that matches the axis_name attribute in the associated array-type spectrum object; or the special values ""Field"" and ""Row"" for tabular and tabulated spectra. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Uniformly_Sampled_Frequency:2    sp:sampling_interval_frequency:1   ","Attribute","sampling_interval_frequency","n/a","sp"," The sampling_interval_frequency attribute provides the spacing of points, in frequency units, at which data are sampled and at which a value for an instrument or data parameter is available. This sampling interval can be either the original (raw) sampling or the result of some resampling process. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Frequency:2    sp:sampling_scale:1                ","Attribute","sampling_scale","n/a","sp"," The sampling_scale attribute indicates the type of scale that applies to the sample interval increments. It must have a value of either Linear or Logarithmic. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Uniformly_Sampled_Frequency:2    sp:sampling_scale:2                 Value:Linear","Value","Linear","","","The sampling intervals are linear with respect to the physical values they represent."
"sp:Uniformly_Sampled_Frequency:2    sp:sampling_scale:2                 Value:Logarithmic","Value","Logarithmic","","","The sampling values are logarithms of the physical values they represent."
"sp:Uniformly_Sampled_Frequency:2    sp:sampling_base:1                 ","Attribute","sampling_base","n/a","sp"," The sampling_base attribute indicates the numeric base of the associated logarithmic sampling interval. ","sbn","ASCII_Real","0","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Frequency:2    sp:bin_width_frequency:1           ","Attribute","bin_width_frequency","n/a","sp"," The bin_width_frequency attribute provides the width of a bin along a spectral axis in a spectral object, in frequency units. The method used to calculate the width must be specified using the bin_profile_description attribute. This attribute can be set to 'nil' if bin widths are unknown. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Frequency:2    sp:first_center_frequency:1        ","Attribute","first_center_frequency","n/a","sp"," The first_center_frequency attribute provides the value at the center of the first bin along the spectral axis of a spectral data object in frequency units. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Frequency:2    sp:last_center_frequency:1         ","Attribute","last_center_frequency","n/a","sp"," The last_center_frequency attribute provides the value at the center of the last bin along the spectral axis of a spectral data object in frequency units. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Frequency:2    sp:comment:1                       ","Attribute","comment","n/a","sp"," The comment attribute is an unlimited length, format-preserved, UTF-8 text field for comments relevant to the context in which it appears. ","sbn","UTF8_Text_Preserved","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TEXT"
"sp:Uniformly_Sampled_Wavelength:1  ","Class","Uniformly_Sampled_Wavelength","1.0.0.0","sp"," The Uniformly_Sampled_Wavelength class provides attributes describing the spectral characteristics of a named axis of an Array object or the rows or fields of a Table object, in cases where the spectral sampling interval is regular and the sampling parameters are in wavelength units. ","sbn","","","","","","","","","","",""
"sp:Uniformly_Sampled_Wavelength:2   sp:axis_name:1                     ","Attribute","axis_name","n/a","sp"," The axis_name attribute contains a string that matches the axis_name attribute in the associated array-type spectrum object; or the special values ""Field"" and ""Row"" for tabular and tabulated spectra. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Uniformly_Sampled_Wavelength:2   sp:sampling_interval_wavelength:1  ","Attribute","sampling_interval_wavelength","n/a","sp"," The sampling_interval_wavelength attribute provides the spacing of points, in wavelength units, at which data are sampled and at which a value for an instrument or data parameter is available. This sampling interval can be either the original (raw) sampling or the result of some resampling process. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Wavelength:2   sp:sampling_scale:1                ","Attribute","sampling_scale","n/a","sp"," The sampling_scale attribute indicates the type of scale that applies to the sample interval increments. It must have a value of either Linear or Logarithmic. ","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"sp:Uniformly_Sampled_Wavelength:2   sp:sampling_scale:2                 Value:Linear","Value","Linear","","","The sampling intervals are linear with respect to the physical values they represent."
"sp:Uniformly_Sampled_Wavelength:2   sp:sampling_scale:2                 Value:Logarithmic","Value","Logarithmic","","","The sampling values are logarithms of the physical values they represent."
"sp:Uniformly_Sampled_Wavelength:2   sp:sampling_base:1                 ","Attribute","sampling_base","n/a","sp"," The sampling_base attribute indicates the numeric base of the associated logarithmic sampling interval. ","sbn","ASCII_Real","0","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Wavelength:2   sp:bin_width_wavelength:1          ","Attribute","bin_width_wavelength","n/a","sp"," The bin_width_wavelength attribute provides the width of a bin along a spectral axis in a spectral object, in wavelength units. The method used to calculate the width must be specified using the bin_profile_description attribute. This attribute can be set to 'nil' if bin widths are unknown. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
"sp:Uniformly_Sampled_Wavelength:2   sp:first_center_wavelength:1       ","Attribute","first_center_wavelength","n/a","sp"," The first_center_wavelength attribute provides the value at the center of the first bin along the spectral axis of a spectral data object in wavelength units. ","sbn","ASCII_Real","1","1","5.0e-324","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Length","none","TBD_classConcept","REAL"
